# beta	delta
nan -8.222968958994676392e-01
nan -8.221325328097739416e-01
nan -8.219681993670482356e-01
nan -8.218038955632700482e-01
nan -8.216396213904211265e-01
nan -8.214753768404869927e-01
nan -8.213111619054557222e-01
nan -8.211469765773181662e-01
nan -8.209828208480680622e-01
nan -8.208186947097023678e-01
nan -8.206545981542203716e-01
nan -8.204905311736246931e-01
nan -8.203264937599208384e-01
nan -8.201624859051167560e-01
nan -8.199985076012237251e-01
nan -8.198345588402559114e-01
nan -8.196706396142299234e-01
nan -8.195067499151654777e-01
nan -8.193428897350856221e-01
nan -8.191790590660154026e-01
nan -8.190152578999831956e-01
nan -8.188514862290208196e-01
nan -8.186877440451617582e-01
nan -8.185240313404431589e-01
nan -8.183603481069049446e-01
nan -8.181966943365901468e-01
nan -8.180330700215436845e-01
nan -8.178694751538144736e-01
nan -8.177059097254537612e-01
nan -8.175423737285154591e-01
nan -8.173788671550569207e-01
nan -8.172153899971379420e-01
nan -8.170519422468210946e-01
nan -8.168885238961720585e-01
nan -8.167251349372594005e-01
nan -8.165617753621543518e-01
nan -8.163984451629309191e-01
nan -8.162351443316663291e-01
nan -8.160718728604403616e-01
nan -8.159086307413355721e-01
nan -8.157454179664378469e-01
nan -8.155822345278351815e-01
nan -8.154190804176189022e-01
nan -8.152559556278834441e-01
nan -8.150928601507253513e-01
nan -8.149297939782443878e-01
